current_path,method,router_prefix,route_path,file,line
/api/v1/services/templates/templates/internet/{template_id},PUT,/services/templates,/templates/internet/{template_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,317
/api/v1/services/templates/templates/statistics,GET,/services/templates,/templates/statistics,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,214
/api/v1/services/templates/templates/voice,POST,/services/templates,/templates/voice,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,349
/api/v1/services/templates/templates/voice,GET,/services/templates,/templates/voice,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,371
/api/v1/services/templates/templates/voice/{template_id},GET,/services/templates,/templates/voice/{template_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,408
/api/v1/services/templates/templates/{template_id},GET,/services/templates,/templates/{template_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,116
/api/v1/services/templates/templates/{template_id},PUT,/services/templates,/templates/{template_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,137
/api/v1/services/templates/templates/{template_id},DELETE,/services/templates,/templates/{template_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,165
/api/v1/services/templates/templates/{template_id}/activate,POST,/services/templates,/templates/{template_id}/activate,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,188
/api/v1/services/templates/templates/{template_id}/validate,POST,/services/templates,/templates/{template_id}/validate,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,535
/api/v1/services/voice,POST,/services,/voice/,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/services.py,137
/api/v1/services/voice,GET,/services,/voice/,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/services.py,153
/api/v1/services/voice/{service_id},GET,/services,/voice/{service_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/services.py,174
/api/v1/services/voice/{service_id},PUT,/services,/voice/{service_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/services.py,190
/api/v1/services/voice/{service_id},DELETE,/services,/voice/{service_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/services.py,207
/api/v1/tickets/dashboard/overview,GET,/tickets,/dashboard/overview,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/ticketing.py,401
/api/v1/tickets/field-work,GET,/tickets,/field-work,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/ticketing.py,299
